x, f(x), newf(x), 
1.000000e-01, 2.710000e+00, 2.710000e+00, 
1.000000e-02, 2.970100e+00, 2.970100e+00, 
1.000000e-03, 2.997001e+00, 2.997001e+00, 
1.000000e-04, 2.999700e+00, 2.999700e+00, 
1.000000e-05, 2.999970e+00, 2.999970e+00, 
1.000000e-06, 2.999997e+00, 2.999997e+00, 
1.000000e-07, 3.000000e+00, 3.000000e+00, 
1.000000e-08, 3.000000e+00, 3.000000e+00, 
1.000000e-09, 3.000000e+00, 3.000000e+00, 
1.000000e-10, 3.000000e+00, 3.000000e+00, 
1.000000e-11, 3.000000e+00, 3.000000e+00, 
1.000000e-12, 2.999934e+00, 3.000000e+00, 
1.000000e-13, 3.000933e+00, 3.000000e+00, 
1.000000e-14, 2.997602e+00, 3.000000e+00, 
